ID,Gender,Use_Facebook,Use_Twitter
399,Female,No,Yes
398,Male,No,No
400,Male,No,No
347,Female,No,No
349,Female,Yes,Yes
374,Female,Yes,No
423,Female,No,No
448,Male,Yes,Yes
348,Male,Yes,No
1426,Female,Yes,No
1434,Male,No,No
1436,Male,Yes,No
1427,Female,Yes,No
1429,Female,Yes,No
1432,Male,No,No
1430,Male,Yes,Yes
1435,Male,Yes,No
1440,Female,Yes,No
1438,Male,Yes,Yes
337,Female,Yes,No
336,Female,Yes,No
440,Male,No,No
442,Female,No,No
441,Female,No,No
445,Male,No,No
448,Male,No,No
447,Male,Yes,No
269,Male,Yes,Yes
270,Male,No,No
290,Female,No,No
282,Female,No,Yes
284,Male,Yes,No
285,Female,Yes,No
312,Male,No,Yes
395,Female,Yes,Yes
156,Female,No,No
333,Female,Yes,No
436,Male,No,No
327,Female,Yes,No
335,Male,No,No
334,Female,Yes,Yes
462,Male,Yes,No
152,Male,No,No
389,Male,No,No
64,Male,Yes,No
177,Female,Yes,No
149,Male,Yes,No
148,Female,Yes,No
81,Male,No,No
111,Female,No,No
112,Female,No,No
122,Male,Yes,Yes
251,Female,Yes,Yes
103,Female,No,No
160,Male,No,No
102,Male,No,No
104,Male,No,No
1057,Female,Yes,Yes
143,Male,No,No
144,Female,Yes,No
681,Male,No,No
1768,Male,No,No
683,Male,Yes,No
684,Female,Yes,No
685,Female,Yes,No
1767,Male,Yes,No
1675,Male,Yes,No
1674,Male,Yes,No
1672,Female,No,No
1671,Female,No,No
29,Female,No,No
30,Male,No,No
32,Female,No,No
31,Female,Yes,No
33,Male,Yes,No
63,Female,Yes,No
452,Male,Yes,Yes
484,Male,Yes,Yes
70,Female,Yes,No
447,Male,No,No
480,Female,Yes,No
58,Male,No,No
61,Female,No,No
59,Male,Yes,No
60,Female,No,No
1524,Male,Yes,No
1529,Male,Yes,No
419,Female,Yes,No
425,Male,Yes,No
420,Female,Yes,Yes
452,Female,Yes,No
457,Female,Yes,No
459,Male,No,No
460,Male,No,No
463,Male,No,No
465,Female,No,No
470,Female,No,No
424,Male,Yes,No
396,Female,Yes,No
401,Female,Yes,Yes
403,Female,No,No
486,Female,Yes,Yes
402,Female,Yes,No
397,Female,No,No
441,Female,Yes,No
483,Male,No,No
440,Male,Yes,No
2381,Male,Yes,No
1938,Male,No,No
1930,Female,Yes,No
2379,Female,Yes,No
2380,Female,No,No
1944,Female,Yes,No
1940,Male,Yes,No
1941,Male,No,No
50,Male,No,No
320,Female,Yes,Yes
286,Female,Yes,No
187,Male,Yes,No
231,Female,Yes,No
165,Female,No,No
188,Male,Yes,Yes
442,Male,Yes,No
443,Female,No,No
705,Female,Yes,No
707,Male,No,Yes
713,Female,No,No
3333,Female,Yes,No
1719,Female,Yes,Yes
3716,Female,Yes,No
1720,Male,Yes,No
62,Female,No,No
3340,Male,No,No
65,Male,Yes,No
1173,Female,Yes,No
69,Male,No,Yes
3341,Male,No,No
63,Male,No,No
1174,Female,Yes,No
73,Female,Yes,Yes
74,Female,No,No
75,Male,No,No
76,Female,No,No
1175,Male,Yes,No
71,Female,Yes,No
1176,Female,Yes,No
474,Female,Yes,Yes
480,Female,Yes,No
481,Female,Yes,Yes
482,Male,Yes,No
484,Male,No,No
485,Male,No,No
491,Male,No,No
496,Female,Yes,No
494,Male,Yes,No
498,Female,Yes,Yes
502,Female,No,No
507,Female,No,No
506,Male,No,No
513,Female,No,No
512,Female,No,No
515,Female,Yes,No
516,Female,No,No
520,Female,Yes,Yes
519,Male,No,No
523,Female,Yes,No
524,Female,Yes,No
529,Male,Yes,No
530,Female,Yes,Yes
528,Female,No,No
533,Male,No,No
534,Female,Yes,Yes
539,Male,Yes,Yes
3473,Female,Yes,No
1172,Female,No,Yes
1171,Male,No,No
1161,Male,Yes,Yes
1169,Female,Yes,No
1910,Male,Yes,Yes
1911,Female,Yes,No
1908,Female,Yes,Yes
1914,Male,Yes,No
1218,Female,No,Yes
2299,Female,Yes,No
2554,Female,No,No
2553,Female,Yes,No
2556,Female,Yes,No
2298,Male,No,No
2297,Female,No,No
1217,Female,Yes,No
1213,Female,No,No
537,Female,No,No
543,Female,No,No
547,Female,Yes,No
557,Female,Yes,No
559,Male,No,No
563,Male,Yes,No
565,Female,No,No
567,Female,Yes,No
572,Male,No,No
579,Female,No,No
581,Female,No,No
1381,Female,No,No
1382,Female,Yes,Yes
1384,Female,Yes,No
1385,Male,Yes,No
1383,Male,No,No
2485,Male,No,No
1389,Male,No,No
1392,Male,No,No
586,Female,Yes,No
589,Female,Yes,No
592,Male,Yes,No
595,Male,Yes,No
597,Female,Yes,No
600,Male,No,No
601,Female,No,No
605,Male,No,No
2619,Female,Yes,No
1655,Male,Yes,Yes
2616,Male,Yes,No
2623,Female,Yes,No
1656,Female,Yes,No
1658,Male,Yes,No
1657,Female,Yes,No
2621,Female,No,Yes
2622,Male,Yes,No
1662,Male,No,No
1661,Female,Yes,Yes
2624,Male,Yes,No
1668,Male,Yes,No
1667,Male,No,No
1665,Male,No,No
2625,Male,Yes,Yes
606,Male,Yes,No
614,Female,Yes,No
613,Female,Yes,No
615,Female,Yes,No
619,Male,No,No
620,Female,Yes,No
621,Female,Yes,No
622,Female,Yes,No
627,Female,Yes,No
625,Female,Yes,No
626,Male,Yes,No
1293,Female,Yes,Yes
1295,Female,Yes,No
3578,Female,Yes,No
1303,Female,Yes,No
1305,Female,Yes,Yes
1306,Female,No,No
215,Female,Yes,No
422,Male,Yes,Yes
421,Female,Yes,No
